id,sid,question_id,question,answer,sample_solution,rubric,label,level
28111_chemie_cce01-19,28111,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","a. ) Der Mitschüler könnte das Konzept des chemischen Gleichgewichts nicht verstanden haben und annehmen , dass gleiche Konzentrationen der Ausgangsstoffe und Produkte immer im Gleichgewicht vorliegen müssen . b . )
Ich würde dem Mitschüler das Konzept des chemischen Gleichgewichts detailliert erklären und betonen , dass gleiche Konzentrationen von Carbonsäure und Ester nicht zwangsläufig im Gleichgewicht vorliegen müssen .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
27120_chemie_cce01-19,27120,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","( a ) Durch den Begriff "" Gleichgewicht "" hat sich der Schüler beirren lassen , da man von diesem davon ausgehen könnte das die gleiche Konzentration vorliegt . ( b ) Ich würde ihm erklären , dass "" Gleichgewicht "" in diesem Fall , nicht bedeutet , dass die gleiche Konzentration an Carbonsäure und Ester vorliegt , sondern dass sich die jeweilige Konzentration der Stoffe nicht mehr verändert .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
27132_chemie_cce01-19,27132,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","a ) Der Mitschüler geht von der Theorie aus , dass die Anzahl der Teilchen gleich verteilt ist , was jedoch nicht stimmt . b ) Indem ich ihm die voherigen Versuche zeige .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
27123_chemie_cce01-19,27123,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","( a ) Der Mitschüler hat sich durch den Begriff Gleichgewicht beirren lassen , da dieser impliziert , dass es von beiden Stoffen exakt gleich viel Maße gibt . ( b ) Gleichgewicht heißt hier aber , dass sich die Konzentrationen der Stoffe nicht mehr verändert .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
27130_chemie_cce01-19,27130,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","a. ) Der Schüler versteht unter chemischen Gleichgewicht , dass alle Stoffe die gleiche Konzentrationen haben . b . )
Wie man in vorhergehenden Versuchsprotokollen sehen kann , entstehen nur gleiche Konzentrationen bei den Edukten .
Die Konzentration der Produkte war hier jedoch fast doppelt so hoch .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
28104_chemie_cce01-19,28104,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","Der Schüler könnte aufgrund des Begriffes "" Gleichgewicht "" zu dieser falschen Aussage gekommen sein .
Denn ein Gleichgewicht muss nicht automatisch bedeuten , dass die beiden Konzentrationen von den Zahlen her identisch sein müssen .
Das Gleichgewicht stellt hier die KOnzentrationen von dem Produkt ( Ester ) und den Edukten ( Carbonsäure und Alkohol ) dar .
Dies kann man nachweisen , indem man während der REaktion die Hydronium Ionen der Carbonsäure aufzeichnet .
Diese nimmt nämlich im Verlauf der Reaktion stetig ab , bis das Gleichgewicht erreicht ist .
Die Konzentration in mol / l muss , wenn man die Konzentration der Carbonsäure und die des Esters addiert = 1 sein .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
27121_chemie_cce01-19,27121,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","a ) Er hat wohlmöglich die Spalten der Tabellen vertauscht und dadurch ein falsches Bild im Kopf . b ) Ich würde ihm die Daten der Tabellen nochmal erläutern und daraufhin das Video erneut vorspielen , in der Hoffnung , dass er dann die richtigen Zusammenhänge verstehen würde .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,0
28109_chemie_cce01-19,28109,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","Mit dem chemischen Gleichgewicht ist nicht gemeint , dass die Konzentration der beteiligten Moleküle gleich hoch ist , sondern , dass die beiden Reaktionen ( Hin- und Rückreaktionen ) in einem geschlossenem System gleichzeitig / nebeneinander ablaufen , denn die Teilchen bewegen sich weiterhin in dem Gefäß und effektive Zusammenstöße könne passieren .
Zudem können nicht nur die Konzentrationen an Ester und Carbonsäure vorliegen ( bei gleicher Verteilung ) , sondern es müssen auch Alkohol und Wasser im Gefäß vorhanden sein ( Wasser = Produkt neben Ester ; Alkohol = Edukt neben Carbonsäure )
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
36109_chemie_cce01-19,36109,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","( b ) die veresterung ist eine reversible Reaktion .
Genauso wie Alkohol mit Säure reagiert , genauso reagiert auch Ester mit Wasser .
Aus Alkohol und Säure wird auf jeden Fall Ester und Wasser , aber wenn diese Produkte entstanden sind stoßen sie wieder im besten Fall mit einem effektiven Zusammenstoß zusammen und so entsteht wieder Alkohol und Säure .
Du musst es dir also so vorstellen , dass zur selben Zeit aus Alkohol und Säure Wasser und Ester wird und aus Ester und Wasser wiederum Alkohol und Säure .
So wie wenn man aus zwei Eimern Wasser gleichzeitig eine Menge jeweils in das andere mischt .
Irgendwann stellt sich ein chemisches Gleichgewicht ein .
Also entsteht nicht die gleiche Konzentration von edukten und Produkten , denn ein Gleichgewicht bedeutet nicht , dass es die gleiche Konzentration ist , sondern das sich das neue Verhältnis nicht mehr verändert .
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
27125_chemie_cce01-19,27125,chemie_cce01-19,"Erläutere...
(a) wie dieser Mitschüler zu dieser falschen Aussage gelangen könnte.
(b) wie Du ihn davon überzeugen würdest, dass diese Aussage nicht korrekt ist (z.B. mit welchen Versuchsdaten).","a ) Der Begriff gleichgewicht könnte so interpretiert worden sein , dass es eine gleiche Menge an Carbonsäure und Ester gibt .
Er geht dabei nur auf eines der Edukte ein und nicht auf beide .
Denn es herrscht ein Gleichgewicht zwischen Edukten und Produkt . b ) Betrachtet man die zu anfang gegebenen Tabellen von der Konzentration der unterschiedlichen Stoffe sieht man , dass das Verhältnis von Carbonsäure zu Ester 1 : 2 beträgt .
Erst wenn man die Edukte ( Alkohol + Carbonsäure ) gemeinsam betrachtet herrscht ein Verhältnis zwischen Edukte und Produkt ( Ester ) von 1 : 1.
","Der Mitschüler hat das chemische Gleichgewicht eventuell so verstanden, dass dieser Zustand mit der
Konzentrationsgleichheit von Edukten und Produkten einhergeht. Dies kann widerlegt werden, indem
die Reaktionsdaten der Veresterungsreaktion betrachtet werden. Hier wird ersichtlich, dass die Kon-
zentrationen der Edukte und Produkte im Gleichgewicht nicht gleich sind, sondern sich lediglich nicht
mehr verändern.","{""0"": ""Die Sch\u00fcler:innen erl\u00e4utern weder das Zustandekommen m\u00f6glicher Fehlinterpretationen, noch beziehen sie die Daten mit ein."", ""1"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten, ohne jedoch konkrete Daten mit einzubeziehen."", ""2"": ""Die Sch\u00fcler:innen erl\u00e4utern das Zustandekommen m\u00f6glicher Fehlinterpretationen mit der Annahme gleicher Entit\u00e4ten und beziehen konkrete Daten mit ein.""}",CCE01-19,2
